"","[1]_A_67_651.txt","[10]_A_65_491.txt","[11]_A_65_576.txt","[12]_A_RES_65_259.txt","[13]_A_64_477.txt","[14]_A_64_7_Add.9.txt","[15]_A_RES_64_243.txt","[16]_A_63_743.txt","[17]_A_63_774.txt","[18]_A_RES_63_269.txt","[19]_A_62_793.txt","[2]_A_67_770.txt","[20]_A_62_793_Corr.1.txt","[21]_A_62_793_Add.1.txt","[22]_A_62_510_Rev.1.txt","[23]_A_62_477.txt","[24]_A_62_502.txt","[25]_A_63_487.txt","[26]_A_RES_63_262.txt","[27]_A_60_846_Add.1.txt","[28]_A_60_870.txt","[29]_A_RES_60_283.txt","[3]_A_C.5_67_L.23.txt","[4]_A_66_516.txt","[5]_A_66_7_Add.10.txt","[6]_A_RES_66_247.txt","[7]_A_66_94.txt","[8]_A_66_7_Add.1.txt","[9]_A_RES_66_246.txt"
"[1]_A_67_651.txt",0,1,0.266384190277186,0.658689350618614,0.404277771094013,0.433829367146444,0.571938660435821,0.723829585515843,0.603606831422934,0.681730260087719,0.176934431797757,0.150558915137897,0.490005367495999,0.350524666650307,0.460030985715095,0.475100698438059,0.167389558540396,0.301333092226662,0.458023318607245,0.363771677871297,0.466932738257348,0.568939857977784,0.538067584350502,0.490533742271309,0.497704768311586,0.644305437055275,0.30508425267444,0.341009469159343,0.520633033108949
"[10]_A_65_491.txt",1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"[11]_A_65_576.txt",0.266384190277186,1,0,0.521049678754205,0.324522586694639,0.240998045314538,0.403773580179851,0.612116954718828,0.457725975289672,0.573927149427928,0.225602878119071,0.166607335428719,0.501644183316403,0.345322696152663,0.315451291180725,0.398516484974576,0.267269651399638,0.172313374091894,0.295525968565762,0.251978599483107,0.346664720595034,0.466166657867831,0.484909045816569,0.38691061946576,0.346440856065863,0.583312696527322,0.25807218390988,0.125746176224499,0.383828482598324
"[12]_A_RES_65_259.txt",0.658689350618614,1,0.521049678754205,0,0.633034578350324,0.492822409636366,0.187326724530951,0.748518430658312,0.601802925820521,0.441223638504722,0.676871081407226,0.510708028429959,0.752718180317034,0.66030757978604,0.609929740453822,0.660322567698499,0.642092940922534,0.391667061068307,0.35384684833328,0.614960736241886,0.323208637476178,0.271251382142454,0.18302248258922,0.605922455120455,0.450805090357303,0.143800714739212,0.691389779259723,0.468474178510327,0.203594257220491
"[13]_A_64_477.txt",0.404277771094013,1,0.324522586694639,0.633034578350324,0,0.2170346365662,0.508916587168925,0.590295847229085,0.534138482014236,0.550935141071586,0.270991678489157,0.383512744471121,0.404323029522379,0.325614657389701,0.241546531253107,0.295621232500331,0.449701886399291,0.31351665603621,0.382334464146813,0.306338593786685,0.410254631540613,0.544648970607963,0.555241128177945,0.318909788921577,0.389689913060737,0.671020031735489,0.232410141871659,0.285606706881838,0.521184094974294
"[14]_A_64_7_Add.9.txt",0.433829367146444,1,0.240998045314538,0.492822409636366,0.2170346365662,0,0.406363665584587,0.644506019020994,0.447777316253584,0.542684533774783,0.333856594162831,0.298338340011045,0.418283918037615,0.309492831591247,0.224132336344036,0.437045619926059,0.446357052257061,0.157484761800723,0.278666922308476,0.24128919911949,0.296298960015114,0.43244214691899,0.444065166710237,0.336654911379955,0.291007020267146,0.572534577723029,0.363092022619591,0.175847273505247,0.392413672974095
"[15]_A_RES_64_243.txt",0.571938660435821,1,0.403773580179851,0.187326724530951,0.508916587168925,0.406363665584587,0,0.712744450981521,0.565026183133094,0.428380798154536,0.554497887231166,0.444794111365118,0.638188451395601,0.555160446513998,0.512987908427363,0.531405156165458,0.575268533577326,0.34011690950268,0.300856629468309,0.464695464328599,0.280099987262248,0.243912569436126,0.226069604014835,0.505852185812197,0.373240248922897,0.264167539996886,0.584792227800371,0.389351033530965,0.087553378752697
"[16]_A_63_743.txt",0.723829585515843,1,0.612116954718828,0.748518430658312,0.590295847229085,0.644506019020994,0.712744450981521,0,0.177810386322293,0.426088797563027,0.713755974266603,0.697125151564301,0.772251510156007,0.75385222221838,0.612178422065004,0.386955049517997,0.759025593276296,0.628176701754234,0.573674791012433,0.671108030680731,0.67322575476694,0.744614149233906,0.734844147199752,0.381397788768944,0.61418116702051,0.757713239197465,0.569176020115871,0.613274607694076,0.733933225239849
"[17]_A_63_774.txt",0.603606831422934,1,0.457725975289672,0.601802925820521,0.534138482014236,0.447777316253584,0.565026183133094,0.177810386322293,0,0.364556907980291,0.622429750152502,0.490092687504855,0.713162215746676,0.67579421728834,0.514899275296244,0.386621546568416,0.656815317298732,0.403154267771579,0.438097097199166,0.529241087576298,0.485997535135491,0.603762257884164,0.56057016039005,0.327442186540945,0.447208505192967,0.63967937703919,0.556410586985028,0.423538367702964,0.56204407416887
"[18]_A_RES_63_269.txt",0.681730260087719,1,0.573927149427928,0.441223638504722,0.550935141071586,0.542684533774783,0.428380798154536,0.426088797563027,0.364556907980291,0,0.713573672362085,0.592856826198657,0.742746962643967,0.723180343386303,0.639520066281292,0.430894135621268,0.694848845304934,0.505924913580504,0.336687095239415,0.63372256183363,0.502745537032274,0.462123368350531,0.375289998328769,0.465225403118294,0.514372457428351,0.506629256364713,0.673723437865829,0.551415529018007,0.438893488126876
