index,23,corpus,ITS,Filename,A_HRC_14_L.6.txt,DocLabel,A/HRC/14/L.6,DatePublish,11-Jun-10,DocType,4,DocTitle,Missing persons : draft decision / Azerbaijan,"""},"
index,24,corpus,ITS,Filename,A_HRC_16_60.txt,DocLabel,A/HRC/16/60,DatePublish,14-Dec-10,DocType,3,DocTitle,Report of the Human Rights Council Advisory Committee on its 5th session : note / by the Secretary-General,"""},"
index,25,corpus,ITS,Filename,A_HRC_16_61.txt,DocLabel,A/HRC/16/61,DatePublish,24-Feb-11,DocType,3,DocTitle,Report of the Human Rights Council Advisory Committee on its 6th session : note / by the Secretariat,"""},"
index,26,corpus,ITS,Filename,A_HRC_16_65.txt,DocLabel,A/HRC/16/65,DatePublish,07-Jan-11,DocType,3,DocTitle,Report of the Ad Hoc Committee on the Elaboration of Complementary Standards on its 3rd session : note / by the Secretary-General,"""},"
index,27,corpus,ITS,Filename,A_HRC_18_34.txt,DocLabel,A/HRC/18/34,DatePublish,06-Jun-11,DocType,3,DocTitle,No title available,"""},"
index,28,corpus,ITS,Filename,A_HRC_18_39.txt,DocLabel,A/HRC/18/39,DatePublish,06-Jun-11,DocType,3,DocTitle,REPORT OF THE WORKING GROUP ON THE RIGHT TO DEVELOPMENT : NOTE / BY THE SECRETARIAT,"""},"
index,29,corpus,ITS,Filename,A_HRC_21_56.txt,DocLabel,A/HRC/21/56,DatePublish,26-Jun-12,DocType,3,DocTitle,"Report of the Human Rights Council Advisory Committee on its 7th, 8th and 9th sessions : note / by the Secretariat","""},"
index,30,corpus,ITS,Filename,A_HRC_24_48.txt,DocLabel,A/HRC/24/48,DatePublish,24-Jun-13,DocType,4,DocTitle,No title available,"""},"
index,31,corpus,ITS,Filename,A_HRC_24_53.txt,DocLabel,A/HRC/24/53,DatePublish,21-May-13,DocType,3,DocTitle,No title available,"""},"
index,32,corpus,ITS,Filename,A_HRC_9_L.5.txt,DocLabel,A/HRC/9/L.5,DatePublish,18-Sep-08,DocType,4,DocTitle,Missing persons : draft decision / Azerbaijan,"""},"
index,33,corpus,ITS,Filename,A_HRC_AC_2008_1_L.6.txt,DocLabel,A/HRC/AC/2008/1/L.6,DatePublish,12-Aug-08,DocType,3,DocTitle,NEW BODIES ESTABLISHED BY THE HUMAN RIGHTS COUNCIL : DRAFT PROPOSAL / HALIMA EMBAREK WARZAZI,"""},"
index,34,corpus,ITS,Filename,A_HRC_DEC_12_117.txt,DocLabel,A/HRC/DEC/12/117,DatePublish,12-Oct-09,DocType,4,DocTitle,Missing persons : decision / adopted by the Human Rights Council,"""},"
index,35,corpus,ITS,Filename,A_HRC_DEC_14_118.txt,DocLabel,A/HRC/DEC/14/118,DatePublish,23-Jun-10,DocType,4,DocTitle,Missing persons : decision / adopted by the Human Rights Council,"""},"
index,36,corpus,ITS,Filename,A_RES_60_284.txt,DocLabel,A/RES/60/284,DatePublish,13-Sep-05,DocType,3,DocTitle,PREVENTION OF ARMED CONFLICT : RESOLUTION / ADOPTED BY THE GENERAL ASSEMBLY,"""},"
index,37,corpus,ITS,Filename,CAT_C_50_4.txt,DocLabel,CAT/C/50/4,DatePublish,26-Aug-13,DocType,4,DocTitle,No title available,"""},"
index,38,corpus,ITS,Filename,CD_1667.txt,DocLabel,CD/1667,DatePublish,14-Feb-02,DocType,4,DocTitle,Decision adopted at its 893rd plenary meeting on 14 February 2002 by the Conference on Disarmament,"""},"
index,39,corpus,ITS,Filename,CERD_C_DEC_SDN_1.txt,DocLabel,CERD/C/DEC/SDN/1,DatePublish,27-Apr-05,DocType,4,DocTitle,Situation in Darfur : decision 2(66),"""},"
index,40,corpus,ITS,Filename,ECE_TRANS_WP.29_1089_ADD.1_CORR.1.txt,DocLabel,ECE/TRANS/WP.29/1089/ADD.1/CORR.1,DatePublish,25-May-11,DocType,4,DocTitle,No title available,"""},"
index,41,corpus,ITS,Filename,ECE_TRANS_WP.29_1097_Corr.1.txt,DocLabel,ECE/TRANS/WP.29/1097/Corr.1,DatePublish,30-Aug-12,DocType,4,DocTitle,No title available,"""},"
index,42,corpus,ITS,Filename,ECE_TRANS_WP.30_AC.2_83_Corr.1.txt,DocLabel,ECE/TRANS/WP.30/AC.2/83/Corr.1,DatePublish,04-Sep-06,DocType,4,DocTitle,"REPORT OF THE ADMINISTRATIVE COMMITTEE FOR THE TIR CONVENTION, 1975 ON ITS 41ST SESSION, 1 JUNE 2006 : CORRIGENDUM","""},"
index,43,corpus,ITS,Filename,E_2011_L.49.txt,DocLabel,E/2011/L.49,DatePublish,22-Jul-11,DocType,4,DocTitle,Ad Hoc Advisory Group on Haiti : draft decision / Canada,"""},"
index,44,corpus,ITS,Filename,E_2013_L.41.txt,DocLabel,E/2013/L.41,DatePublish,31-Oct-13,DocType,4,DocTitle,REPORT OF THE PERMANENT FORUM ON INDIGENOUS ISSUES ON ITS TWELFTH SESSION,"""},"
index,45,corpus,ITS,Filename,E_CN.15_2013_L.24.txt,DocLabel,E/CN.15/2013/L.24,DatePublish,25-Apr-13,DocType,4,DocTitle,DRAFT DECISION SUBMITTED BY THE CHAIR,"""},"
